Battery_Level,Temperature,Voltage,Current,Status
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1083672,1
5,32.2,4222,-1449881,1
5,32.2,4222,-1449881,1
5,32.2,4222,-1449881,1
5,32.2,4222,-1449881,1
5,32.2,4222,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1449881,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1169579,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
7,33.5,4369,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,34.2,4353,-1248314,1
9,35,4353,-1248314,1
9,35,4353,-1248314,1
9,35,4353,-1248314,1
9,35,4353,-1248314,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4353,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1242821,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
9,35,4359,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.5,4345,-1195976,1
11,35.5,4345,-1195976,1
11,35.5,4345,-1195976,1
11,35.5,4345,-1195976,1
11,35.7,4345,-1195976,1
11,35.7,4345,-1195976,1
